timestamp,cluster_id,active_gpu_count,gpu_utilization_pct,tokens_per_sec,power_kw_it,power_kw_cooling,power_kw_total,battery_soc_pct,electricity_price_usd_per_kwh,ambient_temp_c,gpu_temp_avg_c,gpu_temp_max_c,hour,date,cooling_to_it_ratio,power_per_token,battery_state,thermal_state,workload_state,price_state,battery_action,power_source,compute_mode,decision_reason,cost_actual,cost_baseline,cost_savings,it_load_kwh
2026-03-24 00:00:00,cluster_a,12,46.81701010443193,7936,10.68,3.2,13.88,100.0,0.15,29.544089542903464,74.16078818487324,76.8778167800694,2026-03-24 00:00:00,2026-03-24,0.299625468164794,0.0017489919354838,high,normal,medium,cheap,hold,grid,reduced,cheap_grid_reduce_mode,0.0347,0.0347,0.0,0.23133333333333334
2026-03-24 00:01:00,cluster_a,12,35.95281441885031,7783,9.6,2.88,12.48,99.98,0.15,27.728604184931847,68.22421621918278,77.09122910780455,2026-03-24 00:00:00,2026-03-24,0.3,0.001603494796351,high,normal,low,cheap,hold,grid,critical_only,cheap_grid_critical_only,0.0312,0.0312,0.0,0.208
2026-03-24 00:02:00,cluster_a,12,31.706943439442213,7251,9.17,2.75,11.92,99.96,0.15,22.927101747432,72.19719390157353,77.07407929874411,2026-03-24 00:00:00,2026-03-24,0.2998909487459106,0.0016439111846641,high,normal,low,cheap,hold,grid,critical_only,cheap_grid_critical_only,0.029799999999999997,0.029799999999999997,0.0,0.19866666666666666
2026-03-24 00:03:00,cluster_a,12,31.165498539745684,7993,9.12,2.74,11.86,99.94,0.15,23.0176181220434,73.3809461467456,81.11196628986538,2026-03-24 00:00:00,2026-03-24,0.3004385964912281,0.001483798323533,high,warm,low,cheap,hold,grid,critical_only,cheap_grid_critical_only,0.029649999999999996,0.029649999999999996,0.0,0.19766666666666666
2026-03-24 00:04:00,cluster_a,12,34.92468184523835,7296,9.49,2.85,12.34,99.92,0.15,24.15557498117228,77.14870053897191,76.1481746367641,2026-03-24 00:00:00,2026-03-24,0.3003161222339304,0.0016913377192982,high,normal,low,cheap,hold,grid,critical_only,cheap_grid_critical_only,0.03085,0.03085,0.0,0.20566666666666666
2026-03-24 00:05:00,cluster_a,12,35.5290860045541,6824,9.55,2.86,12.41,99.9,0.15,22.46116221672176,65.30229173641472,70.3151789809025,2026-03-24 00:00:00,2026-03-24,0.2994764397905758,0.0018185814771395,high,normal,low,cheap,hold,grid,critical_only,cheap_grid_critical_only,0.031025,0.031025,0.0,0.20683333333333334
2026-03-24 00:06:00,cluster_a,12,39.19312351462417,7897,9.92,2.98,12.9,99.88,0.15,26.01984462449935,74.19163138908107,75.29822651765448,2026-03-24 00:00:00,2026-03-24,0.3004032258064516,0.0016335317209066,high,normal,low,cheap,hold,grid,critical_only,cheap_grid_critical_only,0.03225,0.03225,0.0,0.215
2026-03-24 00:07:00,cluster_a,12,37.398612986457536,7649,9.74,2.92,12.66,99.86,0.15,23.49759485177859,70.03302244500202,71.17961813969855,2026-03-24 00:00:00,2026-03-24,0.2997946611909651,0.0016551183161197,high,normal,low,cheap,hold,grid,critical_only,cheap_grid_critical_only,0.03165,0.03165,0.0,0.211
2026-03-24 00:08:00,cluster_a,12,35.69222902428954,7622,9.57,2.87,12.44,99.84,0.15,22.8972972717943,70.80161536385052,83.71097944703438,2026-03-24 00:00:00,2026-03-24,0.2998955067920585,0.0016321175544476,high,warm,low,cheap,hold,grid,critical_only,cheap_grid_critical_only,0.031099999999999996,0.031099999999999996,0.0,0.20733333333333331
2026-03-24 00:09:00,cluster_a,12,30.0,7918,9.0,2.7,11.7,99.82,0.15,28.89599341739728,67.54190814623851,82.89696965559534,2026-03-24 00:00:00,2026-03-24,0.3,0.0014776458701692,high,warm,low,cheap,hold,grid,critical_only,cheap_grid_critical_only,0.029249999999999995,0.029249999999999995,0.0,0.19499999999999998
